dealer_name,city,state,website,phone,email,source_url,decision_maker_name,decision_maker_title,notes,confidence,email_type
Second Chance Auto,St. George,UT,https://www.getasecondchanceauto.com/,(435) 656-2014,info@scauto1.com,https://www.getasecondchanceauto.com/,,,BHPH lot with Second Chance + Premier inventory tiers. Email found directly on dealer's own site.,High,general
"Utah Car & Truck, Inc.",St. George,UT,https://www.utahcarandtruck.com/,(435) 673-7601,utahcarandtruck@hotmail.com,https://www.utahcarandtruck.com/,,,"Small independent lot, serving Southern Utah 50+ years. Email found directly on dealer's own site.",High,general
Small Town Auto Sales,Hurricane,UT,https://www.smalltownautosales.com/,(435) 635-2501,smalltownauto@yahoo.com,https://www.smalltownautosales.com/,Richard Hinton,Founder & Owner,Family-owned lot in Hurricane. Email found directly on site; owner confirmed via LinkedIn/Crunchbase.,High,general
Griffin Handpicked Auto LLC,Hyrum,UT,https://griffinhandpickeda.wixsite.com/cars,435-265-1155,GriffinHandpickedAuto@gmail.com,https://griffinhandpickeda.wixsite.com/cars,Lael Griffin,Owner,Small handpicked-inventory lot. Email found directly on dealer's own live site; owner confirmed via LinkedIn.,High,direct
Right Deal Auto Sales,Perry,UT,https://rightdealautosales.com,435-740-8812,tyler@rightdealautosales.com,https://rightdealautosales.com/meetourstaff,Tyler Walton,President/Owner,Independent used truck/car lot (diesel focus). Email + title found directly on dealer's Meet Our Staff page.,High,direct
"Mountainland Auto Sales, LLC",Heber City,UT,https://www.mountainlandautosales.com/,(435) 657-1111,sales@mountainlandautosales.com,https://www.mountainlandautosales.com/,Shane Clegg,Owner,"High-volume local used-car/truck lot, 15 yrs in business, two locations, family-run.",High,general
Auto Gallery,Woods Cross,UT,https://autogalleryut.com/,801-295-1288,uzelac@xmission.com,https://autogalleryut.com/,Boyd Uzelac,Owner,Email found directly on dealer's own live site. Family-owned since 1993.,High,owner
Cruz Automotive,Morgan,UT,https://www.cruzautomotive.net/,801-710-9546,Chris@cruzautomotive.net,https://www.cruzautomotive.net/contact-5,,,Email verified directly on dealer's own contact page. One of the only used-car retailers actually based in Morgan.,High,direct
Family Car Sales Utah,Orem,UT,https://familycarsalesutah.com,385-254-2426,Familycarsalesutah@gmail.com,https://familycarsalesutah.com/contact-us/,,,"Verified directly on dealer's own live contact page. Small independent lot, decades-experience owner/operator.",High,general
Repete Auto,Vernal,UT,https://www.repeteauto.com/,(435) 789-2886,pete@repeteauto.com,https://www.repeteauto.com/,,,Independent used-car/truck dealer serving Uintah Basin. Email verified directly in page HTML as mailto link.,High,general
JN Auto,Huntington,UT,https://www.jnautosales.com/,(435) 687-2886,sales@jnautosales.com,https://www.jnautosales.com/,,,"Family-owned independent used-vehicle dealer, in-house inspection program. Email verified directly in page HTML as mailto link.",High,general
JRS Repair & Auto Sales,Richfield,UT,https://www.jrsrepair.com/,(435) 896-1755,krjrsrepair@yahoo.com,https://www.jrsrepair.com/,,,Sells used cars/trucks as core business line despite Repair in the name -- verify before pitching. Email found directly on own site.,Medium,general
Boulevard Motors,St. George,UT,https://blvdm.com,(435) 879-5333,spencer@blvdm.com,https://www.bbb.org/us/ut/st-george/profile/used-car-dealers/boulevard-motors-1166-90013666,Spencer Swift,Owner,Independent lot on St. George Blvd. Site blocks fetch (403); email pattern matches BBB-confirmed owner name.,Medium,owner
"Red Rock Auto Sales, Inc.",St. George,UT,https://redrockautosales.com,(435) 703-9858,josh@redrockautosales.com,Google index of redrockautosales.com/contact-us + BBB,Josh Williams,Co-Owner,Used truck/4x4/BHPH specialist. Confirmed distinct from excluded Red Rock Motors (different city/domain/owners).,Medium,owner
Naples Auto Sales,Vernal (Naples),UT,https://www.naplesautosales.com/,(435) 789-4531,a.herrera@naplesautosales.com,https://www.naplesautosales.com/meet-the-staff,Art Herrera,Owner/President,"Independent used-car dealer since 1981. Email attributed via ZoomInfo, not found as raw mailto link on site.",Medium,owner
Select Auto Imports,Provo,UT,https://selectautoimportsutah.com,(801) 623-1369,selectautoimportsutah@gmail.com,"https://selectautoimportsutah.com/staff, /contact",Rod Lopez,Owner,Family-owned import (JDM/foreign) specialist. Site 403'd direct fetch; email corroborated via search index of own site pages.,Medium,owner
"Munoz Auto Sales, Inc.",St. George,UT,https://munozautosonline.com,(435) 628-9300,MunozAutos@yahoo.com,BBB profile + multiple independent directory listings,Hector Munoz,Owner,"25-year independent lot. Email corroborated across directories, not a single primary page. Verify before first send.",Medium,general
"Approved Auto Sales, LLC",St. George,UT,https://www.approvedautostg.com/,(435) 222-2682,approvesales@gmail.com,https://www.approvedautostg.com/contact-us/,Michael B. Keetch,Owner,BHPH/bad-credit financing specialist. Site 403'd direct fetch; email confirmed via Google index of that URL + BBB profile.,Medium,general
Low Book Sales,South Salt Lake,UT,https://www.lowbooksales.com,(801) 474-3335,info@lowbooksales.com,https://www.lowbooksales.com/contact-low-book-sales-in-salt-lake-city-ut,David Nielson,Owner,Address/phone verified live on dealer's own Contact page; email corroborated via independent directory sources.,Medium,general
Auto Empire,Midvale,UT,https://autoempireut.com,(801) 810-4312,Autoempire801@gmail.com,https://www.bbb.org/us/ut/midvale/profile/used-car-dealers/auto-empire-1166-90042500,Elliot Larsen,Owner,BBB confirms owner; gmail corroborated on Facebook + directories. Site 403'd direct fetch.,Medium,owner
